Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
0.0,0.0,1.0,quadratic,1e-06,,,0.0,0.0,10.000460670937922,0.0983646347748763,0,0.0,,1.1815604618722824e-17,6.980753449898628e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112542724,1.9735449612416331,100,0.0,0.9993974944510705
0.0,0.0,1.0,quadratic,1.3219411484660288e-06,,,0.0,0.0,10.000460670937905,0.09836463477487567,0,0.0,,1.1815690973629985e-17,6.980815806051162e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112542687,1.9735449612416163,100,0.0,0.9993974944510574
0.0,0.0,1.0,quadratic,1.747528400007683e-06,,,0.0,0.0,10.00046067093788,0.09836463477487482,0,0.0,,1.1815806349408868e-17,6.980898747802651e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112542636,1.9735449612415945,100,0.0,0.9993974944510409
0.0,0.0,1.0,quadratic,2.310129700083158e-06,,,0.0,0.0,10.000460670937848,0.09836463477487375,0,0.0,,1.1815960935019453e-17,6.981009197000219e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112542569,1.9735449612415645,100,0.0,0.999397494451018
0.0,0.0,1.0,quadratic,3.0538555088334123e-06,,,0.0,0.0,10.0004606709378,0.09836463477487228,0,0.0,,1.1816168919151576e-17,6.981156710807685e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0086111254247,1.9735449612415246,100,0.0,0.999397494450987
0.0,0.0,1.0,quadratic,4.037017258596558e-06,,,0.0,0.0,10.000460670937741,0.09836463477487029,0,0.0,,1.181645020293035e-17,6.9813543173791e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112542349,1.973544961241471,100,0.0,0.9993974944509478
0.0,0.0,1.0,quadratic,5.336699231206313e-06,,,0.0,0.0,10.000460670937667,0.09836463477486761,0,0.0,,1.1816833193397912e-17,6.98162008375731e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112542194,1.9735449612413989,100,0.0,0.9993974944508939
0.0,0.0,1.0,quadratic,7.0548023107186455e-06,,,0.0,0.0,10.000460670937557,0.09836463477486394,0,0.0,,1.181735898318487e-17,6.981979414671518e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112541966,1.9735449612413,100,0.0,0.9993974944508217
0.0,0.0,1.0,quadratic,9.3260334688322e-06,,,0.0,0.0,10.000460670937402,0.09836463477485886,0,0.0,,1.1818088219762785e-17,6.982468436512894e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112541646,1.9735449612411646,100,0.0,0.9993974944507236
0.0,0.0,1.0,quadratic,1.2328467394420658e-05,,,0.0,0.0,10.00046067093719,0.09836463477485183,0,0.0,,1.1819112102106744e-17,6.983139496339652e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112541212,1.9735449612409777,100,0.0,0.9993974944505913
0.0,0.0,1.0,quadratic,1.6297508346206434e-05,,,0.0,0.0,10.000460670936896,0.09836463477484192,0,0.0,,1.1820570747809418e-17,6.98406980476924e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112540603,1.9735449612407154,100,0.0,0.9993974944504116
0.0,0.0,1.0,quadratic,2.1544346900318867e-05,,,0.0,0.0,10.000460670936464,0.09836463477482765,0,0.0,,1.1822683742719816e-17,6.985375710149809e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112539715,1.9735449612403424,100,0.0,0.9993974944501639
0.0,0.0,1.0,quadratic,2.8480358684358048e-05,,,0.0,0.0,10.000460670935837,0.09836463477480697,0,0.0,,1.1825802414143941e-17,6.987236309630639e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112538428,1.9735449612398028,100,0.0,0.9993974944498196
0.0,0.0,1.0,quadratic,3.7649358067924715e-05,,,0.0,0.0,10.000460670934894,0.09836463477477621,0,0.0,,1.1830499879406083e-17,6.989934090234934e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112536492,1.973544961239009,100,0.0,0.9993974944493343
0.0,0.0,1.0,quadratic,4.977023564332114e-05,,,0.0,0.0,10.000460670933458,0.09836463477472968,0,0.0,,1.1837728906151663e-17,6.99392495588494e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112533552,1.973544961237816,100,0.0,0.9993974944486403
0.0,0.0,1.0,quadratic,6.579332246575683e-05,,,0.0,0.0,10.000460670931226,0.09836463477465769,0,0.0,,1.1849101628340788e-17,6.999961677296375e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.00861112528986,1.9735449612359852,100,0.0,0.9993974944476303
