Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
10.086375,0.3326625307650382,0.12884750000000153,quadratic,1e-06,1.0183748492018445,11.10878833525875,1.091365325777861,0.0157192149437326,0.0846186659971737,0.0018533027501916961,0,-1087439608.2277055,-0.052918584720790314,99.1261588748609,1.9632477782565567,0.10086375000000002,0.003326625307650381,0.22971125,0.02929597452616144,92.33187907017656,2.370231398492308,11.936390876507112,0.3467577575673858,0.04757057999245093,0.005481959093800481,100,10.745312602196895,0.040410261357309685
10.08625,0.33213090416280144,0.12884749999999168,quadratic,1.3219411484660288e-06,1.0183748006522966,11.10877534047215,1.0913636435773337,0.015719195012067116,0.08461852985082327,0.0018532997728829066,0,-620852977.9542136,-0.052918792563135704,99.12616184649879,1.9632478074736965,0.10086250000000001,0.0033213090416280133,0.22971000000000003,0.02929574883835537,92.3317367137986,2.370227983935201,11.936354174402721,0.34675678238214364,0.047570455469830346,0.005481943882794839,100,10.745279571880328,0.040410159875715675
10.08625,0.33213090416280144,0.12884750000000927,quadratic,1.747528400007683e-06,1.018374736471593,11.108758161550703,1.0913614198677137,0.015719168366018933,0.08461834987468016,0.0018532958374820755,0,-355274896.7156829,-0.05291877002664263,99.12616577480246,1.9632478460893188,0.10086250000000001,0.0033213090416280133,0.22971000000000003,0.02929574883835537,92.3315485290229,2.3702234558383526,11.936305643067755,0.3467555036707838,0.04757029083920579,0.005481923849549796,100,10.745235894292083,0.04041002570369201
10.086375,0.3319101676282304,0.1288412500000057,quadratic,2.310129700083158e-06,1.0179996526555901,11.10473290435859,1.09135848025831,0.015719132883583623,0.08461811195444942,0.001853290634297632,0,-203718657.38358247,-0.05292009052927351,99.12617096784545,1.9632478970754403,0.10086375000000002,0.003319101676282303,0.22970500000000002,0.029297832257694428,92.33129976604204,2.370217456270455,11.93624150041988,0.3467538138011881,0.04757007311087231,0.005481897852314041,100,10.745178167988152,0.040409848240136576
10.086125,0.331221201578341,0.12884624999999722,quadratic,3.0538555088334123e-06,1.0181245416560238,11.106067707874036,1.0913545942289116,0.01571908580201097,0.08461779744568515,0.0018532837575358646,0,-116409184.78200476,-0.05291830753277549,99.12617783259255,1.9632479644841951,0.10086125000000003,0.003312212015783408,0.2297075,0.029298283972785846,92.33097090312464,2.3702095063948314,11.936156702289837,0.346751573197327,0.04756978556380393,0.005481863534942329,100,10.745101851945286,0.04040961391924493
10.08625,0.3317543330538427,0.12884374999999937,quadratic,4.037017258596558e-06,1.0181243940830194,11.106028023677204,1.0913494573266376,0.015719024416821877,0.0846173816870835,0.001853274663200273,0,-66760244.62913772,-0.05291852537475396,99.12618690732937,1.9632480535365064,0.10086250000000002,0.003317543330538426,0.22970625,0.029297204831476673,92.33053618382037,2.3701990750482977,11.936044604519253,0.34674862972719767,0.0475694051899593,0.005481817034624862,100,10.745000966512107,0.04040930390638173
10.0865,0.3324421002219785,0.12884499999999882,quadratic,5.336699231206313e-06,1.0178742014212268,11.103408616213438,1.091342667503309,0.015718943227370035,0.08461683208449629,0.0018532626436613571,0,-38273544.94348718,-0.05292033516036384,99.12619890350811,1.9632481714898762,0.10086500000000002,0.003324421002219784,0.22971,0.029295748838355375,92.32996158322246,2.370185307396799,11.935896429031812,0.34674473631291525,0.047568901063178556,0.005481754373321372,100,10.744867611118574,0.040408892791162714
10.086375,0.3319101676282304,0.1288449999999985,quadratic,7.0548023107186455e-06,1.0177489453085038,11.102135855692687,1.0913336912192322,0.015718834989458325,0.08461610555911454,0.0018532467616926326,0,-22012868.248960793,-0.052925867919122634,99.12621476144852,1.963248327401038,0.10086375000000003,0.0033191016762823024,0.22970875000000002,0.02931045331340851,92.32920194998565,2.3701669994597077,11.935700540490437,0.34673957152327056,0.04756823584238244,0.005481674601454404,100,10.744691314900242,0.04040835052239123
10.08625,0.33250704879746534,0.12884374999999873,quadratic,9.3260334688322e-06,1.0181236051378026,11.105945069038963,1.0913218250515535,0.0157186926759464,0.08461514516890864,0.001853225762005592,0,-12564491.263003048,-0.05292638457967555,99.1262357241076,1.9632485335440155,0.10086250000000002,0.0033250704879746523,0.22970625,0.029310854831231043,92.3281977752627,2.3701428350768823,11.9354415973675,0.3467327626034983,0.04756735661575134,0.0054815677041787116,100,10.744458271533647,0.040407633823795856
10.086125,0.33272734239163454,0.12883624999999907,quadratic,1.2328467394420658e-05,1.0184981496836993,11.109885421535514,1.0913061391167864,0.015718504383194228,0.08461387563548234,0.0018531980077917335,0,-7202954.799971131,-0.05292649259078874,99.12626343470626,1.9632488057760673,0.10086125000000003,0.003327273423916344,0.2296975,0.029311831975330372,92.32687032477668,2.37011093089205,11.935099197011402,0.3467237072433766,0.04756619498728807,0.005481426171102833,100,10.744150107737415,0.0404066870372312
10.08625,0.33213090416280144,0.12884125000000018,quadratic,1.6297508346206434e-05,1.0179975617663148,11.104520848427825,1.0912854039144015,0.015718254924977623,0.0846121974685372,0.0018531613221312712,0,-4124866.201277881,-0.05292690511429062,99.12630006508388,1.9632491658271405,0.10086250000000002,0.0033213090416280133,0.22970375,0.029312535474392182,92.3251156320143,2.370068703031514,11.934646451797576,0.34671134489263883,0.047564658369758386,0.005481239854388367,100,10.743742619000958,0.04040543440930366
