Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
100.0,0.0,2.4883848697080253e-21,quadratic,1e-06,0.9999921411251194,6.478055429405993,8.999997266104074,0.1014671406838275,0.9999697736344908,0.01001749277503485,0,-0.9999989996210683,-0.9999989996210683,82.01937406663117,1.8330444903158811,1.0,0.0,1.0,0.0,899.0123212627614,12.933013033797922,82.01127341389768,1.8328627167904432,1.0099439124210294,0.020094869802052575,100,1.011322624016876,0.010004364238414635
100.0,0.0,-1.9588567622778286e-21,quadratic,1.3219411484660288e-06,0.9999896110382206,6.477928807381898,8.99986850108303,0.10146549537119276,0.999953678641452,0.010017331459343607,0,-0.9999986775934572,-0.9999986775934572,82.01966378794657,1.8330474590410963,1.0,0.0,1.0,0.0,898.9994447957598,12.932826196993036,82.0089553154236,1.832807168291117,1.0099117204411165,0.02009422588106624,100,1.0113222786370974,0.01000436101254424
100.0,0.0,-1.3714875672956404e-21,quadratic,1.747528400007683e-06,0.9999862664184485,6.477761424603685,8.999698286867163,0.10146332045554017,0.9999324028030473,0.010017118218815894,0,-0.9999982519184646,-0.9999982519184646,82.02004676895909,1.8330513833828386,1.0,0.0,1.0,0.0,898.9824234205634,12.93257921873859,82.00589107695089,1.8327337405188633,1.009869166926522,0.020093374706074897,100,1.0113218223111382,0.01000435675104647
100.0,0.0,-2.1032953405851745e-21,quadratic,2.310129700083158e-06,0.9999818450387958,6.477540161505626,8.999473283413742,0.10146044550374607,0.9999042787862953,0.010016836343677645,0,-0.9999976892475826,-0.9999976892475826,82.02055302370063,1.8330565708900384,1.0,0.0,1.0,0.0,898.9599231365224,12.932252743758518,82.00184059838226,1.8326366804453909,1.0098129178578286,0.02009224959134507,100,1.0113212195045378,0.010004351122687171
100.0,0.0,-3.038319922908282e-21,quadratic,3.0538555088334123e-06,0.9999760002540611,6.47724767692207,8.999175859079354,0.10145664526397767,0.9998671029192764,0.010016463749797463,0,-0.9999969455108788,-0.9999969455108788,82.02122222140542,1.833063428047041,1.0,0.0,1.0,0.0,898.9301807840784,12.931821190547273,81.99648656601671,1.8325083851815578,1.0097385671914076,0.020090762410551036,100,1.011320423380075,0.01000434369122075
100.0,0.0,-2.87490738417301e-21,quadratic,4.037017258596558e-06,0.999968273825751,6.476861050596013,8.998782711299425,0.10145162205519391,0.9998179628534252,0.010015971252349433,0,-0.9999959624764113,-0.9999959624764113,82.02210678927565,1.8330724920672792,1.0,0.0,1.0,0.0,898.8908661130839,12.931250750649188,81.98940965744288,1.832338808131102,1.0096402927271704,0.020088796715298198,100,1.0113193722614513,0.010004333882797412
100.0,0.0,-3.722796381551843e-21,quadratic,5.336699231206313e-06,0.9999580600001406,6.476349990633227,8.99826304494257,0.10144498251540468,0.9997530099910892,0.010015320286601832,0,-0.9999946632102512,-0.9999946632102512,82.0232760099418,1.8330844728795115,1.0,0.0,1.0,0.0,898.8388996187168,12.930496746630217,81.98005581101414,1.8321146752302737,1.0095104019300267,0.0200861986539946,100,1.0113179850350105,0.010004320943783935
100.0,0.0,-7.952852154206662e-21,quadratic,7.0548023107186455e-06,0.9999445580249712,6.475674465972151,8.997576167232234,0.10143620691366759,0.9996671590810575,0.010014459900005716,0,-0.9999929460893532,-0.9999929460893532,82.02482143070462,1.8331003085558821,1.0,0.0,1.0,0.0,898.770212034276,12.9295001443747,81.96769304035017,1.8318184510793485,1.00933873283178,0.020082764994680685,100,1.011316155204667,0.010004303886587691
100.0,0.0,-4.00747673597692e-21,quadratic,9.3260334688322e-06,0.9999267093852371,6.474781578967551,8.99666831366608,0.10142460866863863,0.9995536918574126,0.010013322784766488,0,-0.9999906769121503,-0.9999906769121503,82.02686400138455,1.8331212384530629,1.0,0.0,1.0,0.0,898.6794269239377,12.92818295110694,81.95135448938922,1.8314269760984916,1.0091118643265833,0.02007822733999611,100,1.0113137432659558,0.01000428142079997
100.0,0.0,-6.367334129361898e-21,quadratic,1.2328467394420658e-05,0.9999031148429397,6.473601436910723,8.995468461306439,0.10140928098508929,0.9994037343929122,0.010011820048586912,0,-0.9999876785132572,-0.9999876785132572,82.02956348770495,1.8331488996710021,1.0,0.0,1.0,0.0,898.5594420128613,12.926442146792814,81.92976340539042,1.8309096716798878,1.0088120761854844,0.020072231344184004,100,1.01131056703158,0.010004251866985862
