Survive,Survive_bar,chi,dynamics,epsilon,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
68.5,2.7838821814150108,NaN,quadratic,1e-06,4.615538094327844,0.045222731078846085,0.5564749821211409,0.007949208643670925,0.0,NaN,NaN,,,0.6850000000000002,0.027838821814150087,1.0,0.0,435.6431343138982,6.479198252090319,41.19293043227183,2.035611544179198,0.4369869755316661,0.020695423532148993,100,19.889738532080322,0.12732256980494208
69.1,2.3430749027719964,NaN,quadratic,1.232846739442066e-06,4.5665154380157285,0.052834813354417545,0.5577474100192944,0.007239997518744974,0.0,NaN,NaN,,,0.6910000000000001,0.023430749027719945,1.0,0.0,433.9504201308673,4.713294511492574,40.171139465449116,1.6975909179793707,0.43397697041199335,0.025033034689605705,100,19.318076219813133,0.12289479702876242
68.5,2.7838821814150108,NaN,quadratic,1.519911082952933e-06,4.615538011643907,0.04522276786376396,0.5564750485857194,0.007949192226568307,0.0,NaN,NaN,,,0.6850000000000002,0.027838821814150087,1.0,0.0,435.64312684324324,6.479201771006537,41.19292846216479,2.0356155323740595,0.43698709073922504,0.02069532194865399,100,19.889737325234993,0.12732261104074627
69.1,2.3430749027719964,NaN,quadratic,1.873817422860383e-06,4.566515405640995,0.05283479969591727,0.5577474215602082,0.007240001239577127,0.0,NaN,NaN,,,0.6910000000000001,0.023430749027719945,1.0,0.0,433.9504195721417,4.713294308778373,40.171143141162915,1.6975902688166224,0.43397699559709907,0.025033057571053553,100,19.31808019120637,0.12289480934003849
68.5,2.7838821814150108,NaN,quadratic,2.310129700083158e-06,4.615537927919975,0.045222810283101295,0.5564750522310541,0.007949188899371802,0.0,NaN,NaN,,,0.6850000000000002,0.027838821814150087,1.0,0.0,435.6431190477273,6.479206604987849,41.19292580071911,2.035623436338976,0.4369871275296287,0.02069533948736423,100,19.88973543665129,0.12732264377407432
69.1,2.3430749027719964,NaN,quadratic,2.848035868435805e-06,4.5665153564669385,0.05283478050922971,0.557747439550413,0.007240008813733134,0.0,NaN,NaN,,,0.6910000000000001,0.023430749027719945,1.0,0.0,433.95041859691383,4.7132941991361434,40.17114914543107,1.6975894893778998,0.433977036032336,0.02503309653331299,100,19.318086644582703,0.1228948297072945
68.5,2.7838821814150108,NaN,quadratic,3.5111917342151275e-06,4.615537801118308,0.04522287557617381,0.5564750582567801,0.007949183968411147,0.0,NaN,NaN,,,0.6850000000000002,0.027838821814150087,1.0,0.0,435.64310727645335,6.47921412264141,41.19292206101633,2.035635197921228,0.43698718400326075,0.020695366812672644,100,19.8897328674643,0.12732269354137393
69.1,2.3430749027719964,NaN,quadratic,4.328761281083061e-06,4.56651528427868,0.05283474907834252,0.5577474650767923,0.007240017149467996,0.0,NaN,NaN,,,0.6910000000000001,0.023430749027719945,1.0,0.0,433.95041736786504,4.713293825210023,40.17115816342226,1.697587992677191,0.4339770934714732,0.025033149893105348,100,19.318096321871476,0.12289485867188552
68.5,2.7838821814150108,NaN,quadratic,5.336699231206313e-06,4.615537604211015,0.0452229687511336,0.556475066225051,0.007949176921633376,0.0,NaN,NaN,,,0.6850000000000002,0.027838821814150087,1.0,0.0,435.64308888463637,6.479225266962306,41.19291642063327,2.0356532490430346,0.4369872687911087,0.020695408624739127,100,19.889729044747313,0.12732276946093374
69.1,2.3430749027719964,NaN,quadratic,6.579332246575683e-06,4.566515174776556,0.05283470279984609,0.5577475055852044,0.007240031103160072,0.0,NaN,NaN,,,0.6910000000000001,0.023430749027719945,1.0,0.0,433.9504155866133,4.713293412847289,40.17117195853775,1.6975857295564325,0.4339771835854004,0.02503323337589704,100,19.31811111707319,0.12289490359888285
