Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
100.0,0.0,-1.1597325800665916e-18,quadratic,1.023531021899027e-05,0.9999719415245386,6.4731152226624395,6.473115170319317,9.000180814583166,0.10068046860619254,1.0000134139470542,0.01003839774989865,0,-1.0000000036486758,-1.0000000036486758,82.01502382878199,1.8183741430071045,1.0,0.0,1.0,0.0,899.0283643375249,12.797233111145106,82.01502388798578,1.8183739941674653,1.0100464123984476,0.020128859561634748,100,1.01176919279488,0.010019584324405036
100.0,0.0,-2.3170119640771054e-19,quadratic,1.2915496650148827e-05,0.9999645943018829,6.473115485963446,6.473115419702297,9.000180813722828,0.10068047002908417,1.0000134147648172,0.01003839635393835,0,-1.000000004639391,-1.000000004639391,82.01502381979273,1.81837412840054,1.0,0.0,1.0,0.0,899.0283646243959,12.797232253696153,82.01502380965869,1.8183739407675994,1.0100464156503106,0.020128856853474885,100,1.0117691299541776,0.010019585940720423
100.0,0.0,-8.730150904671216e-19,quadratic,1.6297508346206434e-05,0.9999553232071315,6.473115815974868,6.473115732187579,9.00018081261844,0.1006804718914671,1.000013415796931,0.010038394602792324,0,-1.0000000059104304,-1.0000000059104304,82.01502380846638,1.8183741099879616,1.0,0.0,1.0,0.0,899.028364984487,12.797231177001356,82.01502371218663,1.8183738746351543,1.0100464197748142,0.02012885345748637,100,1.0117690523615055,0.010019588000968868
100.0,0.0,-8.375648922751455e-19,quadratic,2.0565123083486515e-05,0.9999436244899951,6.47311621177552,6.4731160987800545,9.000180811195003,0.10068047434804718,1.0000134170996517,0.010038392409586497,0,-1.000000007547576,-1.000000007547576,82.01502379420103,1.8183740867838831,1.0,0.0,1.0,0.0,899.0283654358464,12.797229826778759,82.01502359136555,1.8183737931766915,1.0100464250129737,0.020128849206185,100,1.0117689571627977,0.010019590633651492
100.0,0.0,-3.7294629436091624e-19,quadratic,2.5950242113997373e-05,0.9999288625067968,6.473116680811327,6.473116531920263,9.000180809351273,0.1006804776175086,1.0000134187440437,0.010038389668331118,0,-1.0000000096664043,-1.0000000096664043,82.01502377624294,1.8183740575513636,1.0,0.0,1.0,0.0,899.0283660005829,12.79722813638558,82.01502344236907,1.8183736935583512,1.0100464316763262,0.020128843895709313,100,1.0117688413541444,0.010019594008176256
100.0,0.0,5.064199397681872e-19,quadratic,3.274549162877732e-05,0.9999102351934054,6.473117213863561,6.473117006354004,9.000180806949032,0.1006804820131664,1.0000134208198956,0.010038386251066952,0,-1.0000000124244293,-1.0000000124244293,82.01502375365048,1.818374020740069,1.0,0.0,1.0,0.0,899.028366705533,12.797226024679185,82.01502325987019,1.8183735729027264,1.0100464401697782,0.020128837280725037,100,1.0117687020964576,0.010019598349868463
100.0,0.0,-7.584056884508733e-20,quadratic,4.1320124001153344e-05,0.9998867305030141,6.4731178557066285,6.473117592284328,9.000180803797198,0.10068048798987872,1.000013423440701,0.010038382005538542,0,-1.0000000160389981,-1.0000000160389981,82.01502372525042,1.8183739744104348,1.0,0.0,1.0,0.0,899.0283675828722,12.797223393968004,82.01502303836172,1.818373428691194,1.0100464510230487,0.020128829070619067,100,1.0117685373221372,0.010019603961457943
100.0,0.0,-4.703935767526037e-19,quadratic,5.2140082879996844e-05,0.9998570714463995,6.473118650035513,6.473118294527911,9.000180799628062,0.10068049621634965,1.000013426749977,0.010038376754287556,0,-1.0000000208139674,-1.0000000208139674,82.0150236895862,1.818373916141657,1.0,0.0,1.0,0.0,899.0283686705113,12.79722012846108,82.01502277282798,1.8183732595165987,1.0100464649344782,0.020128818928874845,100,1.0117683468343535,0.010019611254246882
100.0,0.0,-7.015458716295755e-19,quadratic,6.579332246575683e-05,0.999819646755794,6.473119606385891,6.473119142647505,9.000180794061533,0.10068050768723907,1.000013430929303,0.010038370296739853,0,-1.0000000271798861,-1.0000000271798861,82.01502364485788,1.818373842921456,1.0,0.0,1.0,0.0,899.0283700120067,12.797216093960023,82.01502246001971,1.818373066423251,1.0100464828328901,0.02012880647893664,100,1.0117681342256157,0.010019620793894391
100.0,0.0,7.034301723495043e-19,quadratic,8.302175681319735e-05,0.9997724234168232,6.473120743195157,6.473120144512416,9.000180786550677,0.10068052389786324,1.0000134362085769,0.010038362416984293,0,-1.000000035755081,-1.000000035755081,82.01502358885473,1.8183737510163278,1.0,0.0,1.0,0.0,899.0283716555019,12.797211140094758,82.0150221007409,1.8183728552190663,1.0100465059661543,0.020128791322202577,100,1.0117679101449275,0.010019633368468757
100.0,0.0,-3.326518056743163e-19,quadratic,0.00010476157527896651,0.9997128363348669,6.47312203644248,6.473121297820383,9.000180776298075,0.10068054711755961,1.0000134428791219,0.010038352901780236,0,-1.000000047439271,-1.000000047439271,82.01502351888351,1.8183736358226965,1.0,0.0,1.0,0.0,899.0283736508895,12.797205107324626,82.01502170381328,1.8183726403823854,1.0100465360296407,0.02012877307759487,100,1.0117676977678445,0.010019650090685938
100.0,0.0,-5.627375803581674e-19,quadratic,0.00013219411484660288,0.9996376491711598,6.473123497165887,6.473122600271989,9.000180762126782,0.10068058081889794,1.0000134513104988,0.010038341576326052,0,-1.0000000635580175,-1.0000000635580175,82.0150234316993,1.8183734917028045,1.0,0.0,1.0,0.0,899.0283760438401,12.797197842426394,82.01502129280134,1.8183724515669948,1.0100465753549153,0.020128751458350407,100,1.011767541844318,0.010019672552980035
100.0,0.0,1.8716251965753365e-19,quadratic,0.0001668100537200059,0.9995427788355676,6.473125022344638,6.473123851228643,9.000180742279808,0.10068063035345153,1.0000134619721477,0.01003832837016424,0,-1.0000000860869114,-1.0000000860869114,82.01502332345181,1.8183733118153513,1.0,0.0,1.0,0.0,899.0283788644572,12.797189228635062,82.01502091723619,1.8183723443186617,1.010046627190195,0.020128726411682247,100,1.011767523531878,0.010019703064675006
100.0,0.0,1.1800127913872483e-19,quadratic,0.00021049041445120198,0.9994230741771444,6.473126326541478,6.473124899197055,9.000180714107199,0.10068070401812904,1.000013475461382,0.01003831343341812,0,-1.0000001180012044,-1.0000001180012044,82.01502318967177,1.8183730879618634,1.0,0.0,1.0,0.0,899.0283821068961,12.797179240546322,82.01502067113955,1.8183724175909695,1.0100466961216856,0.020128698363105695,100,1.0117677845523865,0.010019745017333277
100.0,0.0,-2.2125542972168864e-19,quadratic,0.00026560877829466864,0.999272036970952,6.4731271487203825,6.473125147093652,9.000180673575844,0.10068081474093997,1.0000134925398074,0.01003829733612871,0,-1.0000001638232585,-1.0000001638232585,82.01502302533919,1.8183728104885577,1.0,0.0,1.0,0.0,899.0283856939943,12.797168040265463,82.01502072334362,1.8183728422075227,1.010046788712642,0.02012866863316602,100,1.0117685663354892,0.010019803450978708
100.0,0.0,-2.157749952096979e-19,quadratic,0.0003351602650938841,0.9990814702376613,6.473126474571704,6.4731241035082805,9.000180614499067,0.10068098274979112,1.000013514181005,0.010038281403644897,0,-1.000000230482555,-1.000000230482555,82.01502282510631,1.818372468314815,1.0,0.0,1.0,0.0,899.0283894172627,12.797156141509335,82.01502136680779,1.8183739069018536,1.0100469144807491,0.02012864013593212,100,1.0117702732029805,0.010019885936106298
100.0,0.0,3.7384794799666114e-19,quadratic,0.0004229242874389499,0.9988410351009679,6.4731228178360185,6.473119725166354,9.000180527322671,0.10068123980249907,1.0000135416334799,0.010038268273360186,0,-1.0000003286703218,-1.0000003286703218,82.01502258379598,1.8183720492116957,1.0,0.0,1.0,0.0,899.0283928366781,12.797144684789986,82.01502309845573,1.818376092534579,1.0100470874037237,0.02012861853529197,100,1.011773574057524,0.01002000395338824
100.0,0.0,-5.628360966949457e-19,quadratic,0.0005336699231206307,0.9985376926044287,6.473113292400944,6.473110188819991,9.000180397208188,0.10068163589763364,1.0000135765044822,0.010038262809827411,0,-1.0000004749778821,-1.0000004749778821,82.0150222973769,1.8183715405396552,1.0,0.0,1.0,0.0,899.0283951152637,12.797135893123807,82.01502674795509,1.8183801914153501,1.0100473282526732,0.0201286141417184,100,1.0117795656645447,0.010020175059387446
100.0,0.0,3.715098627454711e-19,quadratic,0.0006734150657750821,0.9981545731699384,6.475920794565874,6.4759417075980235,9.000134370322257,0.10059935915633948,1.000088792238567,0.010001943249022888,0,-1.0000003934987503,-1.0000003934987503,82.01465066478798,1.8155581169766144,1.0,0.0,1.0,0.0,899.1001271482985,12.816463471282546,82.01453922869806,1.8156786635746684,1.0101854773204582,0.020064301962080304,100,1.012120544842027,0.0100078849592625
100.0,0.0,-3.317533825843955e-19,quadratic,0.0008497534359086438,0.9976716915716428,6.475858462943985,6.475885030249542,9.000132175076628,0.10060142898366616,1.000088600459983,0.010001905268779235,0,-1.0000006494809106,-1.0000006494809106,82.0146549849284,1.8155553401248863,1.0,0.0,1.0,0.0,899.0999188625384,12.816524509239317,82.01452415149029,1.8157165424509327,1.0101853229000652,0.020064285748840466,100,1.0121449826407425,0.010008114130057946
100.0,0.0,-5.889375960935087e-19,quadratic,0.0010722672220103231,0.9970625749776375,6.475766206399068,6.475799752245413,9.000129323969142,0.1006043323534846,1.000088359441147,0.010001902976399853,0,-1.0000010630787792,-1.0000010630787792,82.01466050835481,1.8155519156210098,1.0,0.0,1.0,0.0,899.0996478537515,12.816624548263535,82.01451104407364,1.8157698036858354,1.010185219656727,0.020064359289591962,100,1.0121831959043872,0.010008492967042332
100.0,0.0,1.5531547508842745e-19,quadratic,0.0013530477745798061,0.9962942927334373,6.475627055989439,6.475670036285519,9.000125597269852,0.10060846016587466,1.000088056867556,0.010001972743863018,0,-1.0000017292174201,-1.0000017292174201,82.01466759281712,1.8155477209481752,1.0,0.0,1.0,0.0,899.0992928514355,12.81678743298312,82.01450392729484,1.8158457102835135,1.0101852352522411,0.02006460175786587,100,1.0122431606628293,0.010009113763117153
