Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
10.086375,0.326212139,0.130082399,quadratic,1.00E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,1.19E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,1.42E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,1.69E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,2.01E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,2.39E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,2.85E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,3.39E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,4.04E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
10.086375,0.326212139,0.130082399,quadratic,4.81E-08,1.016875,11.09233088,1.091657713,0.016061407,0.084622966,0.001847244,0,-0.052937638,-0.052937638,99.15037054,1.98309536,0.10086375,0.003262121,0.2299475,0.030075692,92.3619589,2.368662367,11.94314515,0.354670375,0.047583661,0.00556171,100,10.75142858,0.040422615
