phi_R,phi_N,mean_R,mean_N,q_R,q_N,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,mu,epsilon,sample_size
1.0,1.0,0.9997790334967137,9.011378071627998,1.010376938714446,82.2689879674816,100.0,0.0,0.0,0.0,0.008307953255472537,0.10162378909796117,0.016749887883517226,1.8106069967254348,0.010818822894823051,1.0640532176636643,899.8230278582271,13.261970345427082,82.26947680265623,1.8106117465326275,0.9999973135260996,6.168764718632809,6.168764973068363,-0.9999999267538552,-0.9999999267538552,-2.7145167475066957e-18,quadratic,100,3e-06,1e-06,10
1.0,1.0,0.9984900092647487,8.990734764405776,1.0070360113073726,81.8435335362943,100.0,0.0,0.0,0.0,0.00976240233086953,0.12562249679331544,0.01951284218257858,2.1973619109458613,0.010053712705854612,1.0102219323997186,897.051880551722,13.33463237319342,81.84436188964742,2.197395401570459,0.9999953704758159,6.442558734576929,6.442558232179006,-0.99999991596994,-0.99999991596994,-2.018649929810438e-19,quadratic,100,5.1037628395577675e-06,1.7012542798525892e-06,10
1.0,1.0,0.9972678445052207,8.974536668905685,1.004082614369851,81.53275559622362,100.0,0.0,0.0,0.0,0.009925330590228956,0.12246176512722877,0.019031474492351146,2.2454393484671957,0.009539460685761898,0.9904471746908686,893.8023968919948,12.538764232392179,81.53415660428378,2.245474514004682,0.9999921024406406,6.674167413419518,6.674166966813163,-0.9999998452216788,-0.9999998452216788,-1.9996061964796688e-20,quadratic,100,8.682798374150256e-06,2.894266124716752e-06,10
1.0,1.0,0.9997671932398351,9.01128337876887,1.0103532675037434,82.26728186791448,100.0,0.0,0.0,0.0,0.008307795410608007,0.10162379283700321,0.016749445027992544,1.810588639295146,0.010818826825085701,1.0640537354383928,899.8135419921995,13.261882288445076,82.26969019118539,1.810612032578579,0.9999867721620431,6.168674637509527,6.16867589022038,-0.9999996393692723,-0.9999996393692723,3.1606269478433337e-18,quadratic,100,1.4771647895120225e-05,4.923882631706742e-06,10
1.0,1.0,0.9984699688772264,8.990574037252223,1.0069959927417984,81.84064268374004,100.0,0.0,0.0,0.0,0.009762443880696676,0.1256179798834578,0.019512531376423527,2.1972384441686,0.010053713992108968,1.010221164426291,897.0358497329271,13.334391847321202,81.84472252458468,2.1974033790162,0.999977204896742,6.442401611388071,6.44239913743485,-0.9999995863180633,-0.9999995863180633,-4.342130919077725e-18,quadratic,100,2.513032920204877e-05,8.376776400682924e-06,10
1.0,1.0,0.9972339197856698,8.974264787317162,1.004015039157787,81.52786658812747,100.0,0.0,0.0,0.0,0.009925216492841806,0.122458208373647,0.019030623478535114,2.24530651000391,0.009539548386695185,0.990438115246725,893.7753071865629,12.53856233690205,81.53476597359442,2.2454797161239974,0.9999611137274526,6.67392195199195,6.673919748233348,-0.9999992380984896,-0.9999992380984896,3.595549215729955e-19,quadratic,100,4.275308010908998e-05,1.4251026703029993e-05,10
1.0,1.0,0.9997088972684041,9.010817150138843,1.0102367259515717,82.25888203704945,100.0,0.0,0.0,0.0,0.008307018456700324,0.10162381160984613,0.01674726512876774,1.810498259650495,0.010818846673963182,1.0640563238131484,899.7668374960052,13.261448777364036,82.27074082265105,1.810613442093641,0.9999348687506362,6.168231094056516,6.168237259836166,-0.9999982248952678,-0.9999982248952678,-1.290345467138487e-17,quadratic,100,7.273386051246992e-05,2.424462017082331e-05,10
1.0,1.0,0.9983713041735548,8.989782717375384,1.0067989825242987,81.8264107936726,100.0,0.0,0.0,0.0,0.009762648987921396,0.1255957455246845,0.01951100233420742,2.1966306991515037,0.010053721527094044,1.010217488051455,896.9569240230509,13.333208052003425,81.84649804897902,2.1974426537247056,0.9998877627500494,6.441627959074194,6.441615772636313,-0.9999979648295207,-0.9999979648295207,2.0155044150863892e-18,quadratic,100,0.00012373879148704043,4.124626382901348e-05,10
1.0,1.0,0.9970669121707798,8.972926307075614,1.0036824112289138,81.50380035450969,100.0,0.0,0.0,0.0,0.00992465518934629,0.12244070178273886,0.019026435317668754,2.2446527086418477,0.009539983883140207,0.9903938423000815,893.6419438502529,12.537568483600761,81.53776586819988,2.24550532804719,0.9998085378390191,6.672713241385781,6.672702278641907,-0.9999962535477979,-0.9999962535477979,-3.1957712427100044e-18,quadratic,100,0.00021051114860111511,7.017038286703837e-05,10
1.0,1.0,0.9994219532367505,9.008522171173551,1.009663197053469,82.21754172001,100.0,0.0,0.0,0.0,0.008303199021225862,0.1016239128105248,0.016736547774750286,1.8100534875293346,0.010818956441907506,1.0640700114845765,899.5369377767935,13.259315943508696,82.2759123458822,1.8106204080172585,0.999679327367182,6.166047270154622,6.166077571327443,-0.9999912741049467,-0.9999912741049467,4.04759366209518e-18,quadratic,100,0.0003581329925143311,0.00011937766417144369,10
1.0,1.0,0.9978857769646,8.985888332469544,1.0058298115944244,81.75639105353801,100.0,0.0,0.0,0.0,0.009763671503489139,0.1254864205934809,0.019503505683115728,2.193642857672023,0.010053787726180879,1.0102019299257152,896.5685008339966,13.327391916740456,81.85523568358806,2.1976359093868623,0.9994474336385771,6.437818681116208,6.437758553974516,-0.999990021499723,-0.999990021499723,-1.1500557911716013e-17,quadratic,100,0.000609275286271421,0.00020309176209047368,10
1.0,1.0,0.9962454030254262,8.966341426501794,1.002047119994761,81.38546252439775,100.0,0.0,0.0,0.0,0.00992190344125864,0.12235465737586311,0.019005864817776875,2.241440234773775,0.00954221694546717,0.9901839477955353,892.9858402740292,12.532681068757563,81.55252323071502,2.245631372589375,0.9990574877905493,6.6667596359463825,6.666703235386554,-0.9999816755838248,-0.9999816755838248,4.314884644669108e-18,quadratic,100,0.0010365321883776665,0.0003455107294592222,10
