Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
0.0,0.0,1.0,quadratic,0.00010476157527896651,,,,0.0,0.0,10.000479894412786,0.10064704998144668,0,0.0,,1.1697231057563656e-17,6.991690508563247e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.0174298637820325,100,0.0,1.0004337938595347
0.0,0.0,1.0,quadratic,0.00013219411484660288,,,,0.0,0.0,10.000479894412782,0.10064704998144798,0,0.0,,1.1697238065635772e-17,6.991686059031953e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241384,2.0174298637820622,100,0.0,1.0004337938595356
0.0,0.0,1.0,quadratic,0.0001668100537200059,,,,0.0,0.0,10.000479894412782,0.10064704998144966,0,0.0,,1.1697250441681826e-17,6.991682325646244e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241384,2.0174298637820995,100,0.0,1.000433793859536
0.0,0.0,1.0,quadratic,0.00021049041445120198,,,,0.0,0.0,10.000479894412779,0.10064704998145177,0,0.0,,1.169727146340633e-17,6.991680380748579e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241377,2.017429863782147,100,0.0,1.0004337938595378
0.0,0.0,1.0,quadratic,0.00026560877829466864,,,,0.0,0.0,10.000479894412768,0.10064704998145443,0,0.0,,1.1697306272422093e-17,6.991682601663569e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241355,2.017429863782206,100,0.0,1.000433793859538
0.0,0.0,1.0,quadratic,0.0003351602650938841,,,,0.0,0.0,10.000479894412758,0.10064704998145767,0,0.0,,1.1697363846879459e-17,6.991693487848757e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241334,2.0174298637822776,100,0.0,1.000433793859539
0.0,0.0,1.0,quadratic,0.0004229242874389499,,,,0.0,0.0,10.000479894412745,0.10064704998146153,0,0.0,,1.1697458575568498e-17,6.991719189803405e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124131,2.017429863782363,100,0.0,1.000433793859538
0.0,0.0,1.0,quadratic,0.0005336699231206307,,,,0.0,0.0,10.000479894412718,0.10064704998146619,0,0.0,,1.1697610290756767e-17,6.991769548632052e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241256,2.0174298637824646,100,0.0,1.0004337938595362
0.0,0.0,1.0,quadratic,0.0006734150657750821,,,,0.0,0.0,10.00211290531347,0.10108407444005522,0,0.0,,1.174063882746599e-17,6.946601100665376e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620812448,2.0279788445568614,100,0.0,1.0014536374862053
0.0,0.0,1.0,quadratic,0.0008497534359086438,,,,0.0,0.0,10.002112905313398,0.1010840744400625,0,0.0,,1.174109034174263e-17,6.946833939216952e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620812302,2.0279788445569786,100,0.0,1.0014536374861869
0.0,0.0,1.0,quadratic,0.0010722672220103231,,,,0.0,0.0,10.002112905313282,0.10108407444007161,0,0.0,,1.1741780917666745e-17,6.947188479002171e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620812066,2.0279788445571216,100,0.0,1.001453637486157
0.0,0.0,1.0,quadratic,0.0013530477745798061,,,,0.0,0.0,10.002112905313107,0.10108407444008237,0,0.0,,1.1742847545889678e-17,6.947735948371414e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0437162081171,2.02797884455728,100,0.0,1.0014536374861087
0.0,0.0,1.0,quadratic,0.0017073526474706904,,,,0.0,0.0,10.002112905312812,0.1010840744400948,0,0.0,,1.174449978626632e-17,6.948575587632274e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620811114,2.027978844557446,100,0.0,1.0014536374860312
0.0,0.0,1.0,quadratic,0.0021544346900318843,,,,0.0,0.0,10.002112905312364,0.10108407444010689,0,0.0,,1.1747068025818134e-17,6.949857930854307e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620810205,2.0279788445575715,100,0.0,1.0014536374859044
0.0,0.0,1.0,quadratic,0.00271858824273294,,,,0.0,0.0,10.002112905311648,0.10108407444011729,0,0.0,,1.1751089399669444e-17,6.951842475393493e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620808752,2.0279788445576052,100,0.0,1.0014536374856995
0.0,0.0,1.0,quadratic,0.003430469286314919,,,,0.0,0.0,10.002112905310518,0.1010840744401253,0,0.0,,1.1757388700434143e-17,6.954929716609529e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0437162080646,2.027978844557507,100,0.0,1.0014536374853718
0.0,0.0,1.0,quadratic,0.004328761281083057,,,,0.0,0.0,10.002112905308726,0.10108407444011784,0,0.0,,1.1767270608302523e-17,6.959696934049845e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620802821,2.0279788445569835,100,0.0,1.0014536374848462
0.0,0.0,1.0,quadratic,0.0054622772176843425,,,,0.0,0.0,10.002112905305843,0.10108407444006595,0,0.0,,1.1782680510552698e-17,6.967050733669101e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620796968,2.0279788445554665,100,0.0,1.0014536374839953
0.0,0.0,1.0,quadratic,0.006892612104349695,,,,0.0,0.0,10.002112905301175,0.10108407443997096,0,0.0,,1.1807109301891309e-17,6.978881923914337e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620787494,2.027978844552926,100,0.0,1.0014536374826333
0.0,0.0,1.0,quadratic,0.008697490026177835,,,,0.0,0.0,10.002112905293643,0.101084074439785,0,0.0,,1.1846954942119558e-17,6.998569616343897e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620772213,2.0279788445481595,100,0.0,1.0014536374804768
0.0,0.0,1.0,quadratic,0.010974987654930568,,,,0.0,0.0,10.002112905281274,0.10108407443955718,0,0.0,,1.191334309298044e-17,7.032126686132829e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620747132,2.0279788445419378,100,0.0,1.0014536374771081
0.0,0.0,1.0,quadratic,0.013848863713938717,,,,0.0,0.0,10.002112905260285,0.10108407443892622,0,0.0,,1.20277347283326e-17,7.092382779939359e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620704615,2.027978844526489,100,0.0,1.0014536374718048
0.0,0.0,1.0,quadratic,0.017475284000076828,,,,0.0,0.0,10.002112905222663,0.10108407443791312,0,0.0,,1.2244923648519884e-17,7.214287402399087e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.04371620628574,2.0279788444997497,100,0.0,1.001453637463989
0.00375,0.06112231589198826,0.9999625000000001,quadratic,0.022051307399030457,,,,0.0017084733750728424,0.04813866377993855,10.001962183591582,0.10111641126947425,0,-0.0688983696112906,-18.372898563010825,0.00013693540361012075,0.0045987916082381244,3.75e-05,0.0006112231589198827,1.0,0.0,0.13800190027843803,3.8584731783644113,0.23202498317912978,7.66083477180708,101.04081923186392,2.028458537280798,100,0.23202206429785646,1.001571709867839
0.06275,0.24710814940021708,0.9993725000000001,quadratic,0.02782559402207126,0.00067102889871675,0.005661025276281056,0.005580981839932155,0.03806003238368794,0.26212224250590926,9.99504063415336,0.10412143337366939,0,-0.7503672931583248,-12.176345527924136,0.0060245303952685255,0.06414383359591681,0.0006275,0.0024710814940021707,1.0,0.0,3.32423093059787,22.745555715798385,7.005632148036492,72.70306450773083,100.9046866799607,2.076261552855622,100,7.004183581971445,1.0038494015838966
0.456,0.6660060059789251,0.9954400000000001,quadratic,0.03511191734215127,0.0011166528937672508,0.02206312487472265,0.022035355443277494,0.25880475445263196,0.6333937819959743,9.972313645577751,0.12346324006372456,0,-3.5538979584544097,-9.540665660280293,0.055187288238672715,0.22266897149645204,0.004560000000000001,0.006660060059789251,1.0,0.0,23.439527748509903,57.087827852053636,41.721336086766904,167.7889948708343,100.4984468830592,2.3578960305228165,100,41.65435618583962,1.0514074372829922
1.767875,1.2724947875629982,0.98232125,quadratic,0.044306214575838776,0.0016907626126941924,0.034792186099983545,0.03464219914905221,1.0582691587019142,1.1487610594656177,9.871211312075426,0.18085344586348848,0,-8.908720195678354,-10.425652657318146,0.32052091246808573,0.5502744618598805,0.01767875,0.012724947875629982,1.0,0.0,99.18299705973162,107.24697272585756,151.86894824018165,259.55864533326945,98.72126041426004,3.213140965407664,100,150.749014627922,1.280447646614187
