phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,mu,epsilon,sample_size,K,M,S
0.2159175,0.10001750000000001,0.007689795453840509,0.09960338593525454,0.035614507642226824,0.9958595839253582,-0.015393374929792246,0.0004065976639200946,0.09946715669675087,0.0018831158378551742,0.9944975298997769,0.00035147091871121864,10.00175,0.04996936561534476,0.02895571090044242,0.0004996936561534474,0.00016754044764203876,0.0014707639271350707,4.6128294279559715e-05,0.0029649207438836853,0.00034746470979818845,0.08954632220698361,2.0956372452312273,4.394329007719221,0.8423388427329325,0.02153787794510488,0.9929193454995453,0.019837119664221102,1.061512926025163,1.0585082615197192,1.0249721271731986,-569082150.1863302,-0.055456711557504756,0.11590000000000109,quadratic,100,1.0,1e-06,8000,1.0,100,100
0.21544375000000002,0.10001250000000002,0.007689325742840563,0.0996023304855362,0.03569064195568711,0.9958988175031738,-0.015413610098507486,0.00040765953907567103,0.0994641306773214,0.0018921854965654426,0.9945169921491949,0.0003521284139646907,10.00125,0.035333235062756436,0.029077105872791054,0.000353332350627564,0.0001673624463727694,0.001492091260905704,4.7089709066744626e-05,0.0030105737932726423,0.0003485338086961605,0.08954350643917143,2.095625635809498,4.394272441494176,0.8422818778272523,0.022000384600962427,0.9926423242737106,0.01993534388946555,1.061126011809257,1.0574736068095822,1.0249549031875864,-108144096.72723697,-0.05556576022290897,0.11543124999999976,quadratic,100,1.0,1.1097524964120722e-06,8000,1.0,100,100
0.21587,0.10001875000000002,0.00768981285942922,0.09960485935536276,0.03562242488270357,0.9958618694531048,-0.015396992879099586,0.0004066254029882888,0.09946904094111547,0.0018836586973099028,0.994503939922419,0.00035159469927309125,10.001875,0.05120043334777549,0.0290072077249776,0.0005120043334777548,0.00016761384899677514,0.0014696082952632059,4.6154111881770056e-05,0.002962204830669751,0.00034749218117524584,0.08954791293391387,2.0956534526885293,4.394386357227891,0.8423542828717044,0.021535708959819932,0.9929641695379339,0.019892448572244256,1.061671392336248,1.0585097307840894,1.025243999171197,-364165119.97222024,-0.055451360665399546,0.11585124999999781,quadratic,100,1.0,1.2315506032928261e-06,8000,1.0,100,100
0.21544000000000002,0.10001250000000002,0.007689325741932098,0.09960233048913161,0.035691263191292705,0.9958988175391238,-0.015413610122926543,0.0004076595388643752,0.0994641306859474,0.0018922184314165212,0.9945169922354449,0.00035212841466327675,10.00125,0.035333235062756436,0.029074583402002516,0.000353332350627564,0.00016736244464867384,0.0014920912672584238,4.708970771714334e-05,0.003010573806663197,0.0003485338084988356,0.0895435064470812,2.095625635960799,4.394272442134184,0.8422818778695851,0.022000384532907,0.9926423242752651,0.019935343891161132,1.0611298073175808,1.0575244012408251,1.0249684131391945,-71301440.58736297,-0.05556606768442211,0.11542750000000118,quadratic,100,1.0,1.3667163564620074e-06,8000,1.0,100,100
0.21591625,0.10001750000000001,0.007689795447893589,0.09960338585776171,0.03561471379710231,0.9958595831505661,-0.01539337497447524,0.0004065976619729506,0.09946715653861574,0.0018831267307252264,0.9944975283187022,0.0003514709198750926,10.00175,0.04996936561534476,0.02892249100505522,0.0004996936561534474,0.00016754044597787582,0.0014707639329650682,4.61282944918762e-05,0.0029649207596052765,0.00034746470794250564,0.08954632206428557,2.0956372443496973,4.394329004013247,0.8423388421024474,0.021537877704431545,0.9929193455122284,0.01983711965791483,1.0612685585106354,1.058356075043886,1.0247794369649394,-247380753.24340266,-0.055453144091019826,0.11589874999999594,quadratic,100,1.0,1.5167168884709241e-06,8000,1.0,100,100
0.21546,0.10001250000000002,0.007689325740813082,0.09960233048128919,0.03568795015693438,0.9958988174607095,-0.01541361015300405,0.0004076595378912771,0.09946413067160753,0.0018920427823785248,0.9945169920920642,0.0003521284155240615,10.00125,0.035333235062756436,0.029032540364218904,0.000353332350627564,0.0001673624425232285,0.0014920912753326337,4.7089705929655466e-05,0.00301057382485338,0.00034853380754294646,0.08954350643430357,2.0956256360089154,4.394272442354555,0.8422818778190756,0.02200038451579849,0.9926423242771831,0.019935343893261657,1.0612526380189304,1.0576356320680813,1.025079465189488,-47010383.47753508,-0.05556100483309755,0.11544749999999827,quadratic,100,1.0,1.6831803533309585e-06,8000,1.0,100,100
0.21592125,0.10001750000000001,0.007689795443855705,0.09960338580955315,0.03561388906305286,0.9958595826685648,-0.015393375004803731,0.00040659766162386824,0.0994671564403851,0.0018830831223136586,0.9944975273365669,0.000351470920664789,10.00175,0.04996936561534476,0.028930542657155604,0.0004996936561534474,0.00016754044484591408,0.0014707639364764421,4.6128294304248346e-05,0.0029649207689017463,0.00034746470765552426,0.08954632197565841,2.0956372437995645,4.3943290017037375,0.8423388417086073,0.021537877531282935,0.9929193455208435,0.019837119653630303,1.0612647197846836,1.0583225225925632,1.024786062738926,-163102785.32040262,-0.05545363612948987,0.11590374999999709,quadratic,100,1.0,1.867913599020781e-06,8000,1.0,100,100
0.21542375000000002,0.10001750000000001,0.007689004348530027,0.0996039785904106,0.03569246356787507,0.9958655094399542,-0.015407966117402127,0.0004075506042805043,0.09946819813749315,0.001891855490773437,0.9945079424849965,0.0003519619022403247,10.00175,0.04179638142231933,0.028750572793207096,0.0004179638142231929,0.00016910836868070075,0.0015003491786154417,4.6870957748175266e-05,0.0030292896038587687,0.0003484298164087906,0.08954724558645417,2.0956437651132425,4.394356788479568,0.8422607436280095,0.022035519151060445,0.9927573811707914,0.0199247876756186,1.058155473708571,1.0550360935000762,1.022226197349327,-40748679.89845984,-0.05557079029683246,0.11540624999999965,quadratic,100,1.0,2.0729217795953697e-06,8000,1.0,100,100
0.21590125000000002,0.10001500000000002,0.0076900517772380056,0.09960817850941592,0.035618375425052,0.9959323952348742,-0.015394073617858158,0.00040658111725129216,0.09947599348604069,0.001883180932260893,0.9946107432489197,0.0003514904662097764,10.0015,0.047410441887837315,0.029019609722349817,0.000474104418878373,0.0001672607497329212,0.0014674115630227353,4.621035922680426e-05,0.002958027569348343,0.00034744422091469076,0.08955420426007703,2.095689963450434,4.394542654507759,0.8424081219840216,0.021471281631041252,0.9930177595573362,0.019891068715571638,1.0611886925729777,1.0582768547681007,1.0247919343380762,-95162185.77009116,-0.055441998362982296,0.11588625000000197,quadratic,100,1.0,2.300430119772917e-06,8000,1.0,100,100
0.21568375,0.10002000000000001,0.007690075386477254,0.09960614037599755,0.0356544032013411,0.9958622313137131,-0.015407211308289427,0.0004072460745308971,0.09947253840028417,0.0018881629910964413,0.9945264787071001,0.00035196364704005164,10.002,0.044676615807377355,0.028900389027442176,0.00044676615807377333,0.00016904401199748794,0.0014902931610905946,4.6627578936927484e-05,0.0030059626481412955,0.0003481088150811938,0.08955115519968124,2.095667546378309,4.394456169383895,0.8423843235072488,0.022054887293725275,0.9929037640598616,0.02007341176721386,1.0578197874989135,1.0544740497783796,1.0221587738192464,-34137003.058888175,-0.05550889846164237,0.11566375000000077,quadratic,100,1.0,2.5529080682395166e-06,8000,1.0,100,100
