Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
0.002875,0.053541894,0.99997125,quadratic,3.27E-07,,,0.000255717,0.004772022,9.999624474,0.101780518,0,-2.88E-05,-0.01,0.002283758,0.042865708,2.88E-05,0.000535419,1,0,0.024395959,0.457242449,0.002283758,0.042865708,100.9951157,2.04270887,100,0.002283693,1.002626037
0.003375,0.057996632,0.99996625,quadratic,3.90E-07,,,0.000300406,0.005175021,9.999579785,0.101833524,0,-3.38E-05,-0.01,0.002687109,0.04661929,3.38E-05,0.000579966,1,0,0.028819542,0.498818986,0.002687109,0.04661929,100.9946238,2.043197373,100,0.002687019,1.003027964
0.004125,0.066015031,0.99995875,quadratic,4.64E-07,1,9.304336899,0.000369797,0.005951999,9.999510394,0.101911874,0,-4.13E-05,-0.0103125,0.00333544,0.054268821,4.13E-05,0.00066015,1,0,0.035220237,0.570123055,0.00333544,0.054268821,100.9938475,2.043901972,100,0.003335304,1.003639366
0.00475,0.070550957,0.9999525,quadratic,5.53E-07,1,9.304336899,0.00042621,0.006367518,9.999453981,0.101923085,0,-4.75E-05,-0.01027027,0.00385183,0.058245642,4.75E-05,0.00070551,1,0,0.040679536,0.610699389,0.00385183,0.058245642,100.9932219,2.043923766,100,0.003851649,1.004141985
0.006,0.078828929,0.99994,quadratic,6.58E-07,1,9.304336899,0.000541254,0.007152377,9.999338937,0.10192102,0,-6.00E-05,-0.010212766,0.004924082,0.065921674,6.00E-05,0.000788289,1,0,0.051864026,0.688698512,0.004924082,0.065921674,100.991926,2.043670578,100,0.004923789,1.005146801
0.007625,0.088413005,0.99992375,quadratic,7.83E-07,1,9.304336899,0.000681996,0.007952974,9.999198195,0.101985202,0,-7.63E-05,-0.010166667,0.006150627,0.072668603,7.63E-05,0.00088413,1,0,0.06667533,0.781163803,0.006150627,0.072668604,100.9904032,2.044054299,100,0.006150162,1.00643865
0.00875,0.094463948,0.9999125,quadratic,9.33E-07,1,9.304336899,0.000790079,0.008575428,9.999090112,0.102051878,0,-8.75E-05,-0.010144928,0.007195354,0.079115839,8.75E-05,0.000944639,1,0,0.077718462,0.847875306,0.007195355,0.079115839,100.9891376,2.044561411,100,0.00719473,1.007334538
0.009625,0.098905811,0.99990375,quadratic,1.11E-06,1,9.304336899,0.000869785,0.008986838,9.999010406,0.10209671,0,-9.63E-05,-0.010131579,0.007931115,0.083078834,9.63E-05,0.000989058,1,0,0.085739069,0.889813635,0.007931115,0.083078834,100.9882414,2.044919334,100,0.007930358,1.008032341
0.013375,0.11595736,0.99986625,quadratic,1.32E-06,1,7.12898853,0.001193906,0.010387498,9.998996761,0.099925284,0,-0.00013375,-0.01009434,0.010787468,0.095346603,0.00013375,0.001159574,1,0,0.12001133,1.049577154,0.010787468,0.095346604,100.989337,1.994748422,100,0.010786043,1.009400825
0.0155,0.124538147,0.999845,quadratic,1.57E-06,1,7.12898853,0.001387251,0.01118814,9.998803415,0.100104704,0,-0.000155,-0.010081301,0.012564809,0.102931848,0.000155,0.001245381,1,0,0.139167569,1.127786116,0.01256481,0.102931849,100.9871766,1.996321627,100,0.012562885,1.011106842
0.01825,0.134784782,0.9998175,quadratic,1.87E-06,1,7.12898853,0.00163155,0.012099807,9.998559116,0.100219365,0,-0.0001825,-0.010068966,0.014761644,0.111261536,0.0001825,0.001347848,1,0,0.164515687,1.225618313,0.014761644,0.111261537,100.9844728,1.997002522,100,0.014758982,1.013288385
0.022375,0.15041396,0.99977625,quadratic,2.23E-06,1,7.780907665,0.002004339,0.013519345,9.998186327,0.100431542,0,-0.00022375,-0.010170455,0.018157745,0.124262403,0.00022375,0.00150414,1,0,0.201480467,1.365703213,0.018157745,0.124262404,100.9803374,1.998389626,100,0.018153728,1.016607556
0.027625,0.166918721,0.99972375,quadratic,2.66E-06,1,8.10771849,0.002495566,0.015131035,9.9976951,0.100622328,0,-0.00027625,-0.010184332,0.022784989,0.140083139,0.00027625,0.001669187,1,0,0.249553177,1.517332129,0.022784989,0.14008314,100.9747487,1.999462638,100,0.022778761,1.020841374
0.0335,0.182695785,0.999665,quadratic,3.16E-06,1,8.10771849,0.003041231,0.016643952,9.997149436,0.100949395,0,-0.000335,-0.010151515,0.027894406,0.154759134,0.000335,0.001826958,1,0,0.303632279,1.667174058,0.027894406,0.154759135,100.9685577,2.00203275,100,0.027885157,1.025560849
0.03825,0.195030607,0.9996175,quadratic,3.76E-06,1,8.12256355,0.003471982,0.017760325,9.996718685,0.101158524,0,-0.0003825,-0.010166113,0.031834597,0.16501861,0.0003825,0.001950306,1,0,0.347128034,1.78178591,0.031834598,0.165018611,100.9637476,2.003454068,100,0.031822543,1.029363121
0.044375,0.210726978,0.99955625,quadratic,4.48E-06,1,8.193295747,0.004012253,0.019121298,9.996178414,0.101383565,0,-0.00044375,-0.010230548,0.036673021,0.17725801,0.00044375,0.00210727,1,0,0.400703701,1.916060252,0.036673021,0.177258011,100.9578376,2.004538508,100,0.036656923,1.03425477
