Survive,Survive_bar,chi,dynamics,epsilon,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
100.0,0.0,-1.0435409407300688e-17,quadratic,1e-06,8.998932319886132,0.10066475653150052,1.0001457179080628,0.009962879178291055,0.0,-0.9999999999570686,-0.9999999999570686,81.99036424353297,1.8158580721977706,1.0,0.0,1.0,0.0,899.0258182203744,12.781836311530103,81.99036461005007,1.8158581552125512,1.0102959254527433,0.01997292772862236,100,1.0095817121588664,0.010004468402908834
100.0,0.0,-8.309302418342696e-18,quadratic,1.232846739442066e-06,9.001049365579723,0.10016007192930378,0.9999843940001798,0.010005351173065509,0.0,-1.0000000002120444,-1.0000000002120444,82.02733933213251,1.8083953704571014,1.0,0.0,1.0,0.0,899.0945133862808,12.813202749919848,82.02733982160991,1.8083955701439045,1.0099540824881954,0.02005311721766086,100,1.0084501400067913,0.009985294244288703
100.0,0.0,-6.67785481316419e-18,quadratic,1.519911082952933e-06,9.000422020221572,0.10050110130765154,0.9999801229004343,0.010050704736792163,0.0,-0.9999999998020394,-0.9999999998020394,82.01542114472751,1.815461554870635,1.0,0.0,1.0,0.0,899.0150513200745,12.89377465505085,82.01542127788377,1.8154617178980916,1.0099630528368444,0.02016052542571645,100,1.007824735794402,0.010002806640876754
100.0,0.0,-5.6031085225540436e-18,quadratic,1.873817422860383e-06,8.999363057547786,0.10044518795918508,1.0001569893141882,0.010012662549403478,0.0,-0.9999999997755616,-0.9999999997755616,81.99882218039616,1.8127574779948146,1.0,0.0,1.0,0.0,899.0843055832213,12.8854525074981,81.99882277459113,1.8127578657430081,1.0103087657796461,0.02006860300212491,100,1.0102873330352948,0.009994762505624862
100.0,0.0,-4.4924698420186304e-18,quadratic,2.310129700083158e-06,9.00046555077341,0.0999399981791567,0.9999392146767606,0.009985507971993126,0.0,-0.9999999995963516,-0.9999999995963516,82.01745848972192,1.8041470957635186,1.0,0.0,1.0,0.0,898.9889372682085,12.71349576995282,82.0174587682836,1.8041475342446347,1.0098786879993713,0.020030056280584817,100,1.009078637624709,0.010000254950994499
100.0,0.0,-3.4272133606652953e-18,quadratic,2.848035868435805e-06,8.999645141988204,0.10025610056740979,1.0000015730404752,0.009946454454034295,0.0,-0.9999999997400155,-0.9999999997400155,82.00276103114508,1.8088157912544816,1.0,0.0,1.0,0.0,898.9718332415648,12.777127045365003,82.00276169744735,1.8088159159039394,1.0100130917681582,0.019950477689235826,100,1.0091490157354928,0.01000994568473339
100.0,0.0,-3.281777828087672e-18,quadratic,3.5111917342151275e-06,9.000244964760938,0.10046332562362292,1.0000627706534573,0.010013975292802454,0.0,-0.9999999997843728,-0.9999999997843728,82.01552456761645,1.8148066945090486,1.0,0.0,1.0,0.0,899.0775106467784,12.796852908893626,82.01552460792004,1.8148064854742236,1.0101357138573703,0.0200988677458804,100,1.011115182215421,0.010010168610300985
100.0,0.0,-2.5421491917972014e-18,quadratic,4.328761281083061e-06,8.998932322546107,0.10066477049358986,1.0001457183059856,0.00996287576198011,0.0,-0.9999999998288613,-0.9999999998288613,81.99036423851767,1.8158580430854272,1.0,0.0,1.0,0.0,899.0258184561787,12.781835564041145,81.99036471803616,1.815858379701561,1.0102959257519528,0.0199729202751298,100,1.0095817722710896,0.010004467906156833
100.0,0.0,-1.9603830214252682e-18,quadratic,5.336699231206313e-06,9.00104938899831,0.10016010434175715,0.9999843976200209,0.010005353120862075,0.0,-1.00000000094023,-1.00000000094023,82.02733927091954,1.8083952874823386,1.0,0.0,1.0,0.0,899.0945160763378,12.813206279328513,82.02734028266384,1.808396130129167,1.009954089900049,0.02005312201906752,100,1.0084501794770082,0.009985294416572971
100.0,0.0,-1.6378957543516184e-18,quadratic,6.579332246575683e-06,9.000421982415029,0.10050112750214783,0.9999801187452321,0.010050701696202697,0.0,-0.9999999991770253,-0.9999999991770253,82.01542122644175,1.8154614822237285,1.0,0.0,1.0,0.0,899.0150476540138,12.893775443833402,82.01542069870925,1.8154621650295633,1.0099630444438572,0.0201605185771752,100,1.0078248371695757,0.010002806558128756
100.0,0.0,-1.4801644399494227e-18,quadratic,8.111308307896873e-06,8.999363094205556,0.10044525392750978,1.0001569941991837,0.010012667831233054,0.0,-0.9999999990800778,-0.9999999990800778,81.99882209473677,1.8127573337696745,1.0,0.0,1.0,0.0,899.0843094124732,12.885461241689722,81.99882356465065,1.8127589906475206,1.010308774854028,0.0200686137841272,100,1.0102874633016456,0.009994761808482203
