Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
58.284625,3.4734872404220805,0.037854999999996974,quadratic,1.4508287784959402,0.009764634362466648,0.010744663763575187,0.010690523959248117,3.6569975416456186,0.2773821934872401,0.3957587132447506,0.03448030887061819,0,293296459410.7021,-7.9616551327462295,93.39354248632509,2.0098277127602424,0.58284625,0.034734872404220796,0.62062125,0.035275721798958284,361.84822031539153,27.905661231917257,35.68088383179452,5.919019593942117,0.3807771781619657,0.07778177169362008,100,22.307252812192417,0.22415221905282498
56.2305,3.505263149893314,0.03223152894111499,quadratic,1.830738280295366,0.012051884871213028,0.014270331638527504,0.014027529703596223,3.6345667136813007,0.35549773672190554,0.39780777890267943,0.04533103069034599,0,-1029758092123.454,-7.5162553083616634,93.39408091509756,2.109263054502603,0.562305,0.03505263149893313,0.5944262499999999,0.035974585625653845,360.3014623592149,35.75452631593016,36.92515905228811,7.689254131281432,0.4097621958459069,0.10753497550519307,100,23.715083856088015,0.2515111668904238
54.5785,3.544762015989226,0.027157500000001528,quadratic,2.310129700083158,0.015041194924330937,0.019853596649607397,0.019417490324820066,3.634575458588766,0.462275256579483,0.4022504874577109,0.0602816058085817,0,-249732905264.76007,-6.952639028450792,93.34948145170749,2.202099482156795,0.5457850000000001,0.03544762015989225,0.5728,0.035860981581657785,360.91602585453177,46.35595870640428,38.45486700218373,10.229004794925038,0.4434372248541384,0.15307750561151073,100,25.244728238007998,0.28163177019417235
53.173375,3.5513822815032183,0.023126640830096672,quadratic,2.9150530628251756,0.020025206899857335,0.02850987457471588,0.028157927577260357,3.650215248487293,0.6005683188341633,0.4089005818407217,0.0810248279495119,0,481721361421.51917,-4.58904028296505,93.25034508805707,2.3699667171387926,0.53173375,0.035513822815032174,0.55469625,0.03572265018076765,362.9610102670654,60.246982640702186,40.24377254627145,14.060904176293242,0.4848265756989989,0.22428961320800853,100,26.919701185982298,0.31762688986931814
52.191625,3.555862041667955,0.01898737342173507,quadratic,3.6783797718286344,0.026252755769981356,0.039617120469641116,0.03926565313689619,3.6829377021931817,0.8113294267139249,0.4202459768090795,0.12483661295186199,0,-505690677893.2869,-5.279839415122161,93.15459311267858,2.777616461183727,0.52191625,0.035558620416679565,0.540725,0.03600138018187636,366.6217596007511,81.09012237247815,42.62655550242697,21.023274426571614,0.5567532956617516,0.5102608429042463,100,29.062525384190977,0.38014661463753424
51.50625,3.590537694761051,0.01568333543267421,quadratic,4.641588833612782,0.035988884067055575,0.05958150215069103,0.05769096526554527,3.7447395797606404,1.0540338201026986,0.4418881524857606,0.21350102821492317,0,32783987340114.28,-3.6035417006219146,92.82946000806962,3.6070622232563743,0.5150625,0.035905376947610514,0.5304325,0.036301004720944025,373.29486292561404,105.6326798410059,45.87112830916804,29.103957603246187,0.7038553952826039,1.4512899837506075,100,31.848053788942146,0.508590255975325
51.12075,3.571403006872789,0.014244075529083768,quadratic,5.857020818056661,0.05134665148096576,0.0942991937141764,0.08724186096047043,3.8343047974623605,1.3195560718027877,0.5020231772054853,0.4245964958107162,0,3221400954283.859,-1.1895388115669239,92.12874624132436,5.386354775957405,0.5112075,0.035714030068727906,0.5250612499999999,0.03799830586272893,382.41317904149486,132.00540275761566,50.128321895279385,38.43356192361255,1.211114333826138,3.7751871385802787,100,35.42642861543651,0.9590870633746481
50.84475,3.542371724918208,0.014424350483953132,quadratic,7.390722033525775,0.08023761739212144,0.14727460182788907,0.12910163187422677,3.8135868536109716,1.5471289462079352,0.5816767977617148,0.6525529827361389,0,-830186865007.2502,-0.9546646946322044,91.35598829445357,7.386422250665263,0.5084474999999999,0.03542371724918209,0.522405,0.041937345826840305,380.5532690687694,154.58761537002192,51.74974402244379,45.487534418396244,2.027644900474139,6.256581352687679,100,37.20629933240936,1.6892970034198158
50.625625,3.5537611567710905,0.019143949044585988,quadratic,9.326033468832199,0.16184281228427141,0.22004426821349504,0.18146964158960066,3.704007992144757,1.733331565079943,0.7470721453350349,0.9929679223883494,0,5324047044175.25,-0.67666939700213,89.79751825193209,10.304302348097815,0.5062562500000001,0.03553761156771092,0.52484,0.05385883771490061,369.8507351751927,173.4329593644738,51.22512842412349,49.361644393874116,3.7920083684283523,10.056553195685353,100,37.505453218251255,3.233891578092861
50.416125,3.5745230429212507,0.026963131889015585,quadratic,11.768119524349991,0.354537468949698,0.34560776753175126,0.2646148075286629,3.4625536989357144,1.886038192906285,0.9389938118116977,1.2923632937507474,0,-11859660554.74658,-0.6244369157754841,88.11309258098915,12.957341345962952,0.50416125,0.03574523042921252,0.5306287500000001,0.06624984659180351,345.7533467538493,188.61493641935957,47.772416563770165,52.19708805320123,5.9618531361831355,13.395250748071906,100,35.78313844575676,5.080143757562474
50.176375,3.638477272070694,0.03746083880747849,quadratic,14.849682622544636,0.8090243478174178,0.5169774120401988,0.3815727582146822,3.130625306154961,1.9602806742311638,1.154683119685573,1.5625382389831848,0,-2.289541508994762,-0.19645648996286036,86.32770124515912,15.3999808625656,0.5017637500000001,0.03638477272070695,0.538725,0.08079309608499974,312.58366622823536,195.7059943343073,42.10521980383869,51.344569531153574,8.454443730474106,16.335667546977444,100,32.30440499630085,7.121150623587299
49.98375,3.672156850884777,0.04805117862095046,quadratic,18.73817422860383,1.6629178935962485,0.739709490430598,0.5374976880476329,2.7981082981569734,2.0281881926762377,1.3534875604523744,1.762736988998604,0,23367079311.725655,-0.1379479044818741,84.61642066143277,17.24801763002047,0.4998375,0.03672156850884777,0.547395,0.09070261283447131,279.5814505194714,202.89379644509518,36.87762605549821,51.322260783834786,10.78641421812986,18.502480300411996,100,29.048216007283298,8.95448564183054
49.843875,3.6964848145738407,0.06184140969162996,quadratic,23.644894126454073,3.436896869156207,1.0634898079127124,0.7440263487895047,2.4221857819305566,2.0082980952679246,1.618950101246603,1.9614647532580438,0,-0.08378316842950059,-0.08378316842950059,82.34286863239913,19.05978890118908,0.49843875000000004,0.036964848145738416,0.5597837499999999,0.10177261781018263,242.033727003707,200.77137359882622,30.5903674427437,47.98792507161971,13.827321481509536,20.618886825799787,100,24.723383480557157,11.20632205118315
