Survive,Survive_bar,chi,dynamics,epsilon,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
13.6,1.2806248474865698,NaN,linear,1.5199110829529332e-05,11.790543835926435,0.2698788580477719,0.08445269638374728,0.001448868628703956,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653291420382,8.474369550334673,1375.2616633536031,76.70839180911152,0.00723769908439337,0.0002423462857852551,100,1236.2447394067003,0.00010544115790796915
13.15,2.0316249653910043,NaN,linear,1.873817422860383e-05,11.694012199023648,0.287826057849005,0.08504184707160535,0.0017192918441966533,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854671839782,9.411874694379362,1359.9915360183088,71.0911992664637,0.0073273481696626615,0.00028610499006607375,100,1223.241614707395,9.523241631235004e-05
13.6,1.2806248474865698,NaN,linear,2.310129700083158e-05,11.790543727829846,0.26987908686803314,0.08445270289247589,0.0014488772169143746,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653283331496,8.474370615727825,1375.260305780413,76.71274666827404,0.007237700326164057,0.00024234777720419026,100,1236.2433843825454,0.00010544130031925206
13.15,2.0316249653910043,NaN,linear,2.8480358684358048e-05,11.69401214405576,0.2878259089654031,0.08504185085550595,0.001719288296943558,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854666875959,9.411873326318744,1359.9994225302803,71.08047995392182,0.00732734860504466,0.00028610428053010893,100,1223.2495025049566,9.523220811454278e-05
13.6,1.2806248474865698,NaN,linear,3.511191734215127e-05,11.790543567464988,0.2698794235431794,0.08445271280006812,0.0014488902643988485,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653274604827,8.474370518575633,1375.2582452308425,76.71936696272998,0.007237702215982022,0.00024235004368566813,100,1236.2413276145523,0.00010544151669123163
13.15,2.0316249653910043,NaN,linear,4.328761281083062e-05,11.694012063225902,0.2878256933168083,0.08504185661296439,0.001719282897568969,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854661862431,9.411873361166268,1360.0113920693911,71.0641847450341,0.00732734926838772,0.00028610320088326413,100,1223.2614739345183,9.52318922077253e-05
13.6,1.2806248474865698,NaN,linear,5.3366992312063123e-05,11.790543317961498,0.2698799425740147,0.08445272787446644,0.0014489100777455742,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653257500759,8.474371742769808,1375.255116164336,76.72943692626345,0.007237705090891238,0.00024235348575039228,100,1236.2382044316093,0.00010544184545255825
13.15,2.0316249653910043,NaN,linear,6.579332246575683e-05,11.69401193712795,0.2878253580785727,0.08504186537878539,0.001719274697318302,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854653088614,9.411872391423246,1360.0295503954426,71.03940415191303,0.007327350279170757,0.00028610156037424893,100,1223.2796352097516,9.523141206729988e-05
13.6,1.2806248474865698,NaN,linear,8.111308307896872e-05,11.790542944623805,0.2698807303481346,0.08445275078562757,0.0014489402385368293,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653236975215,8.47437294536531,1375.25037698697,76.74475927135683,0.007237709461387034,0.00024235872482668562,100,1236.2334740579518,0.00010544234612771602
13.15,2.0316249653910043,NaN,linear,0.0001,11.694011738879734,0.2878248517064637,0.0850418786670875,0.0017192622072453884,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854637468422,9.41187120753504,1360.0570626915678,71.00171524444303,0.007327351810959872,0.0002860990628067134,100,1223.3071521425109,9.523068373224111e-05
13.6,1.2806248474865698,NaN,linear,0.0001232846739442066,11.790542361477538,0.26988192844497244,0.0844527855913409,0.001448986083804194,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653196593578,8.47437462677301,1375.2431993502964,76.7680949649854,0.007237716103314514,0.00024236668835309543,100,1236.2263101725002,0.00010544310917751779
13.15,2.0316249653910043,NaN,linear,0.0001519911082952933,11.69401143748957,0.2878240781148314,0.0850418988921889,0.0017192431741054838,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854619998265,9.411869253998304,1360.0986815179665,70.9443829486538,0.007327354146327502,0.00028609525835531776,100,1223.3487780178295,9.522957913822195e-05
13.6,1.2806248474865698,NaN,linear,0.0001873817422860385,11.790541478283718,0.26988376514497814,0.08445283848317275,0.0014490558456400104,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653146102768,8.474378112123901,1375.232348108919,76.8036730925352,0.007237726200590282,0.0002423788064928656,100,1236.2154797577903,0.00010544427272541781
13.15,2.0316249653910043,NaN,linear,0.00023101297000831605,11.69401095008327,0.2878229108793119,0.08504192961466603,0.001719214157360799,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.48545848219,9.411866439877793,1360.1614481692545,70.85716046600295,0.007327357698867301,0.0002860894601480444,100,1223.411556068587,9.522790628149075e-05
