phi_R,phi_N,mean_R,mean_N,q_R,q_N,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,mu,epsilon,sample_size
1.0,1.0,0.8875070013738688,8.13755808338949,0.7978750088905319,67.24739232530341,100.0,0.0,0.0,0.0,0.01068453753191658,0.11616738506352343,0.01960475444946919,1.9610173525432537,0.010206331402895348,1.0275407647657864,809.7765041362891,10.095251932487406,84.31882890094228,2.4384748298832606,0.8908704279676695,5.69185681192593,5.702588373443686,-0.9995984819928921,-0.9995984819928921,-3.0756163581245746e-18,quadratic,100,0.1237387914870407,0.041246263829013564,10
1.0,1.0,0.8225339225010928,7.576868513949017,0.689580889016446,58.694899139979256,100.0,0.0,0.0,0.0,0.009084016256592643,0.055530265386645225,0.015175740988309422,0.7705267615439735,0.013018835351412189,1.2859626623072682,755.1767998171005,7.642265139851215,85.54478709836062,1.9126937136893956,0.8190647947570711,4.743071573219821,4.737978253439659,-1.0019900672579851,-1.0019900672579851,-5.23471237154799e-18,quadratic,100,0.21051114860111508,0.07017038286703836,10
1.0,1.0,0.7361137798273744,6.802412587327763,0.5605923106376193,47.95307276967969,100.0,0.0,0.0,0.0,0.011531146380168819,0.09365980926599714,0.018747159224290322,1.360007548427241,0.018728813785875133,1.6802557614445057,679.1059479935701,11.731604242799989,86.63553229393567,1.9532596340629145,0.7061947058972038,3.4104687092724477,3.4455150288881504,-1.010180001208313,-1.010180001208313,-6.430852978861964e-18,quadratic,100,0.3581329925143315,0.11937766417144383,10
1.0,1.0,0.621927054399818,5.85335392663946,0.41101007297031295,36.59999873112499,100.0,0.0,0.0,0.0,0.006705757605007452,0.09525180240068583,0.009466654090527759,1.334377847140454,0.02421681197587876,2.338246540619407,582.4851113535669,5.0993270185498485,89.25152165190181,2.499391406243455,0.5365430897029286,1.9899957801763086,1.99525015928903,-1.0362430143994155,-1.0362430143994155,1.3340736691672375e-17,quadratic,100,0.6092752862714217,0.2030917620904739,10
0.986,0.976,0.484237609491146,4.606458934087048,0.2793885650506139,37.38395062002633,97.6,2.4576411454889016,0.018000000000000016,0.024576411454889015,0.009968225965399482,0.06806594229228558,0.013534363943807208,17.777867779693214,0.04490250260491423,16.164486708595955,454.7589758762886,7.847733330017532,90.6420457708298,1.1781283073461424,0.1947038291856976,0.21339838934474323,0.1925245459032371,-2.9247351729886066,-2.9247351729886066,0.00999999999999999,quadratic,100,1.0365321883776655,0.34551072945922184,10
0.85,0.804,0.3562312859771141,3.4363480370592416,0.19570661614931406,25.721025031867114,80.4,3.6110940170535577,0.02898275349237888,0.036110940170535566,0.009067220656778445,0.05270178626970319,0.016317945099336244,3.19478918922464,0.06880588704040562,13.912537200066211,340.13830316948537,8.692821430371293,94.15348478695523,1.504306850118724,0.006845558306351936,0.007388171205740988,0.004033011352530934,-4.607204355042294,-4.607204355042294,0.046,quadratic,100,1.7634048216824736,0.5878016072274912,10
0.701,0.636,0.24189087170479565,2.395692116577279,0.12222079996007981,15.084946914163947,63.6,1.8,0.028442925306655778,0.018000000000000016,0.006923308440542712,0.07142623664537569,0.010694704768543617,1.783343369264269,0.0637096061459739,9.345606196733424,232.75692170462543,6.6004094159876985,96.13291153249713,2.1208590298255303,0.009374176726029493,0.005299090725875148,0.004903961576399993,-3.928345669895756,-3.928345669895756,0.06499999999999989,quadratic,100,3.0,1.0,10
0.5980000000000001,0.546,0.15901252494733242,1.574143006335541,0.06390664899387785,7.172810021392269,54.6,2.4576411454889016,0.02135415650406262,0.024576411454888997,0.006696601256584458,0.053569463090123864,0.005792428983748952,0.5350279571615635,0.03862166590375183,4.694883816997175,153.89426151905852,5.597240199121956,96.52274636669361,2.031842374960681,0.016430387134956315,0.003617420822163231,0.0032792697701903703,-2.1545521564400167,-2.1545521564400167,0.0520000000000001,quadratic,100,5.103762839557767,1.7012542798525891,10
0.5369999999999999,0.506,0.10133722469178999,1.03675170790713,0.030892493909643905,3.3510952278177055,50.6,3.9293765408777,0.03494281041931228,0.03929376540877701,0.005274648351602683,0.05505061248544719,0.0042784656590429335,0.5231023721730518,0.020623260801409575,2.2762411239693545,100.81141610821842,5.5400701906752285,99.40727780449163,1.4401415373537545,0.018226154724234195,0.0055858648319515375,0.004878298450535097,-1.6243031697408572,-1.6243031697408572,0.031000000000000104,quadratic,100,8.682798374150256,2.8942661247167516,10
0.501,0.483,0.06143149140817213,0.6286828925864443,0.011386520059680947,1.3265738432195657,48.3,3.6345563690772495,0.027000000000000017,0.036345563690772506,0.0029647211819827774,0.0327569257121847,0.0016890386884646524,0.20621361362167429,0.00761269192304862,0.931331663788707,61.56659153415535,3.029832099913285,99.41809976089023,1.9189025663703962,0.043284747149431126,0.006824276832207285,0.006080310169686648,-0.8899201025393757,-0.8899201025393757,0.022222222222222233,quadratic,100,14.771647895120225,4.923882631706742,10
0.496,0.48599999999999993,0.03828589025293152,0.3975198677566756,0.004850807872727748,0.5037236623212674,48.6,3.0397368307141326,0.032000000000000015,0.030397368307141338,0.0017332927722810932,0.012513472028740568,0.0006838331008598645,0.07262984339695136,0.0033849984802682316,0.3457016170599826,38.93578100205626,1.581887255485483,100.4230209400839,2.359575448207088,0.14536758129839547,0.01896055780062277,0.020554911477528463,-0.3029025485691744,-0.3029025485691744,0.009999999999999998,quadratic,100,25.130329202048774,8.376776400682925,10
0.5,0.4919999999999999,0.022238937561621465,0.2290504891971887,0.0014763254398594279,0.16057192049777955,49.2,2.2271057451320084,0.02097617696340304,0.0222710574513201,0.0007690093007784812,0.008377589908072827,0.0001866323039119153,0.012903025635772121,0.0009817550959897298,0.10810779389630808,22.702587438603384,0.8238269634218043,100.73099473754073,2.076662309365535,0.2754686186931774,0.04994974939232263,0.051710616093042505,-0.23383249069501835,-0.23383249069501835,0.007999999999999998,quadratic,100,42.75308010908998,14.251026703029993,10
0.496,0.491,0.01306019627719594,0.13649052787744298,0.0005314649739558897,0.0596114302795926,49.1,3.1128764832546763,0.03440930106817053,0.031128764832546774,0.00044726561943460996,0.006262775314628604,4.118710093571883e-05,0.008886076438204646,0.0003608962471570071,0.04098176607932956,13.353208411031426,0.5187062800969428,100.81723238011857,1.7590577563687346,0.715789655547924,0.0466314323546633,0.053351023937778165,-0.0588143115122524,-0.0588143115122524,0.005,quadratic,100,72.73386051246992,24.244620170823307,10
0.49399999999999994,0.493,0.007801078421278595,0.0820303910558874,0.00019663414680933287,0.021216333027093456,49.3,3.348133808556641,0.03352610922848043,0.03348133808556643,0.00032065465217883966,0.003254725293389218,3.6390989481926444e-05,0.002753813969312016,0.00013577732227439433,0.014487347970311646,8.01743147680806,0.3374618459688372,100.51370798661804,2.299694926885084,1.8592998331972095,0.07511659806650835,0.0858406410402817,-0.018863482049430204,-0.018863482049430204,0.0010000000000000005,quadratic,100,123.73879148704069,41.246263829013564,10
0.479,0.479,0.004543224916938676,0.04779453778919401,6.442850980184564e-05,0.007665922726447548,47.9,3.645545226711637,0.03645545226711637,0.03645545226711637,0.00021587804567631345,0.0017688058554124692,1.1622250217979569e-05,0.0013015568638962399,4.378761715595319e-05,0.005381604883964854,4.666961403090494,0.22490591430890897,101.87455474372672,2.5772700434643183,4.127788122829792,0.14426933317451146,0.15275781752255618,-0.005836094466221792,-0.005836094466221792,0.0,quadratic,100,210.5111486011151,70.17038286703837,10
0.49399999999999994,0.493,0.0027089884051637674,0.028340068848762584,2.300043564299569e-05,0.002652302016239681,49.3,2.41039415863879,0.025768197453450267,0.02410394158638791,0.00013651180851298366,0.0016487197464386124,3.6273850809573423e-06,0.00033669303055159825,1.5661817463683958e-05,0.0018491425138870774,2.7700507307452726,0.17165068132845493,101.15116840663059,2.6428468994223255,9.773068946911259,0.17270816847589393,0.20261019773947067,-0.0055770898640877375,-0.0055770898640877375,0.0009999999999999996,quadratic,100,358.1329925143307,119.37766417144357,10
0.4579999999999999,0.4579999999999999,0.001582049094203109,0.016703737583673144,8.371631739873933e-06,0.0009506712225262959,45.8,2.315167380558045,0.023151673805580447,0.023151673805580447,8.143809190578809e-05,0.0007720455035553541,8.741080036787879e-07,9.77607719426831e-05,5.868752403405055e-06,0.0006716563732620813,1.6231988061857856,0.08228738675230468,101.07144483848727,1.9549663546824527,34.30973369141285,0.33686469995766577,0.30874313020604427,-0.0008205643511261915,-0.0008205643511261915,0.0,quadratic,100,609.2752862714217,203.09176209047388,10
0.495,0.495,0.0009469502179064904,0.009909235510455604,2.8561220521513834e-06,0.00032068803402200864,49.5,2.4186773244895647,0.024186773244895654,0.024186773244895654,3.295385694544769e-05,0.00037240633480121956,2.626502542140351e-07,3.5464027105611705e-05,1.9594073369582337e-06,0.00022249508562033433,0.9688783682303441,0.03528900362433745,102.18117243652429,1.183048530054064,114.4219264258265,0.3669570211565917,0.3793334504586927,-0.00022662257905092025,-0.00022662257905092025,0.0,quadratic,100,1036.5321883776655,345.5107294592218,10
0.493,0.493,0.0005465935143845496,0.005646290429773012,9.609109659433292e-07,9.593603456955718e-05,49.3,5.020956084253277,0.05020956084253277,0.05020956084253277,3.522947539872076e-05,0.000326325995607469,7.471105061023383e-08,1.0305778753604792e-05,6.621464959760765e-07,6.405543895221087e-05,0.5528668596155708,0.034824504527982664,99.7300930314049,2.1902520757337784,175.24508943909987,0.758863194035171,0.8338185266353049,-0.0013111065879985047,-0.0013111065879985047,0.0,quadratic,100,1763.4048216824772,587.8016072274924,10
0.46799999999999997,0.46799999999999997,0.0003417856434784995,0.0035683217058330957,4.0158730626696065e-07,4.3787436297693414e-05,46.8,2.2271057451320084,0.02227105745132009,0.02227105745132009,2.952269026593363e-05,0.00026198016737970345,7.551605305427532e-08,8.513511089228142e-06,2.847698801789487e-07,3.10545165013738e-05,0.34774121668209984,0.02977154729649429,100.06401497640677,2.2163699024237915,706.7719806670559,1.3750999251951668,1.66682811534885,-4.206636360290201e-05,-4.206636360290201e-05,0.0,quadratic,100,3000.0,1000.0,10
