phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,mu,epsilon,sample_size,K,M,S
0.7735437500000001,0.66972,0.02737504502701807,0.28480091753016645,0.03538913607280528,0.4252537142838297,-0.0040144927354559745,0.00125162739733708,0.15323882930939126,0.001618043449174116,0.22881029282295773,7.799867034957748e-05,66.972,2.4428397409572327,0.030608484705020936,0.02442839740957231,0.0003317407684534043,0.0033483812037732497,5.53531670929152e-05,0.007835196129520001,0.0005022343071058134,0.0721272666833666,1.9986909538920343,4.004717106784196,2.717487269681139,0.04433486680247643,0.954389389656302,0.019520495989559832,0.005210345046580562,0.000450641792965082,0.00075191723815351,-10651.070389278979,-25.03323386709021,0.10382375000047811,quadratic,100,1.0,1e-06,8000,1.0,100,100
0.774085,0.6705125000000001,0.02737816687261504,0.28475326680857976,0.03536842449164506,0.42468002730535165,-0.004020026742361265,0.0012517373430880707,0.1531012628149907,0.00161705412595267,0.22833468848826918,7.828740068759412e-05,67.05125,2.4183410506998384,0.03023760531192906,0.024183410506998373,0.00033607654813690065,0.0033550612083381214,5.534640909670871e-05,0.007832107354797955,0.0005021733217833151,0.07201683985683249,1.9985238605112479,4.004046359768904,2.7173064597022263,0.04402434398140462,0.9542058496382548,0.019697774467458903,0.005141685060384401,0.0004427278372298081,0.0007368127223661509,-12211.449625782985,-22.63127896530482,0.10357250000025121,quadratic,100,1.0,1.1097524964120722e-06,8000,1.0,100,100
0.774195,0.6703875,0.027379531809101937,0.28478578894453,0.03536516227707739,0.4248077252999646,-0.004008919499330744,0.0012513759771079058,0.15318051165882374,0.0016163576064271987,0.22849547710663423,7.789044094048133e-05,67.03875,2.413865869823756,0.030428226616087906,0.02413865869823755,0.00033085780350500677,0.0033019817708561557,5.520366918809256e-05,0.00775161478378518,0.0005017372150222809,0.07207756607406535,1.998637903536573,4.004529934093288,2.7176361876202417,0.04404145191601812,0.9543775827002892,0.01942843908442285,0.005135875529811312,0.00044288250688105294,0.0007413523697966288,-17683.191749068465,-24.38786593258761,0.10380750000035864,quadratic,100,1.0,1.2315506032928261e-06,8000,1.0,100,100
0.77344375,0.66953125,0.02736883583881453,0.28489158942580917,0.03538568362445819,0.4255090250467161,-0.0040244245510702124,0.0012508628406245558,0.15350186675785366,0.001617264139279108,0.22926766563600084,7.835848757979017e-05,66.953125,2.4274323336346577,0.030303516065590484,0.024274323336346562,0.0003347028231527805,0.003357958631045917,5.47867896887783e-05,0.007995475880434049,0.0005018096654525771,0.07233864903228984,1.9990089069325674,4.006057402837411,2.717204694666259,0.04406161475348453,0.9547053408636392,0.01962793302038097,0.005217632278312024,0.0004573259841682624,0.0007633224414230897,-3064897.5843728827,-20.779626893196355,0.10391249993044122,quadratic,100,1.0,1.3667163564620074e-06,8000,1.0,100,100
0.77393125,0.6700162499999999,0.02737172757832589,0.28471833537640473,0.03536713057952615,0.42494243292816347,-0.004021322497636617,0.0012514409771537632,0.15310412004742674,0.0016169924358962941,0.22850806983774902,7.848257851998818e-05,67.001625,2.403928526261752,0.030268924220023093,0.024039285262617505,0.00033190932908255084,0.003300282183491664,5.484277533047499e-05,0.00776770986005106,0.0005022295065316773,0.07203958954791585,1.99840136804346,4.003558364626872,2.7160505647713533,0.04410548328436795,0.9538951513414997,0.019418678166275124,0.0051774118362971555,0.0004533771472881377,0.0007543006509671294,-9997.299559114203,-23.544862498985427,0.10391500000039433,quadratic,100,1.0,1.5167168884709241e-06,8000,1.0,100,100
0.7738662500000001,0.6697312499999999,0.02737321199843721,0.2848045372719734,0.03537201938763607,0.4252519757320171,-0.004028013426605168,0.001251556543875545,0.15322427765581675,0.0016172775901204452,0.22878472171608663,7.850528293197237e-05,66.973125,2.437499278846047,0.030443630055193825,0.024374992788460455,0.00033648877779805586,0.003312388999784057,5.574923690019072e-05,0.007851397361406784,0.0005022638087641583,0.07211065320511388,1.9987036475016646,4.0047792213881985,2.71711290504694,0.04451369502270792,0.9543245742228207,0.019327105688961514,0.005207257188637397,0.0004514783573400768,0.0007523259834194257,-31251.423300752936,-22.852195280655057,0.10413500000172468,quadratic,100,1.0,1.6831803533309585e-06,8000,1.0,100,100
0.77390625,0.6700325,0.027369597853417995,0.28479448401373464,0.03536552115119626,0.425045776158223,-0.004017529025744926,0.0012499259967549453,0.15319516207895817,0.0016150870945349576,0.22863840497133808,7.81456295638884e-05,67.00325,2.4248174029192384,0.030601122707141,0.024248174029192368,0.00033075976983760574,0.0032881629438210663,5.485764912270837e-05,0.007761096401356859,0.0005008311100971223,0.0720872639543088,1.9986683928512325,4.004598330616224,2.7168239782581067,0.044429425949339005,0.954324294939479,0.019382195819678406,0.005174748978574769,0.00044872407123511276,0.0007469518479663908,-13219.282058908371,-24.424040339899552,0.10387374999931581,quadratic,100,1.0,1.867913599020781e-06,8000,1.0,100,100
0.7733037500000001,0.6696175000000001,0.0273709943851654,0.2848417181741458,0.03539488122896778,0.42537974018621943,-0.004033300846280466,0.0012515068529916945,0.15329227851430285,0.00161838973752771,0.22892513787991334,7.853031507798509e-05,66.96175,2.4274548270771175,0.03048643527763619,0.024274548270771162,0.0003378735865703647,0.0033285154963111465,5.5348511964764724e-05,0.007849651496847687,0.0005023355193589387,0.07215747410190337,1.9988340263786148,4.005343261118415,2.7171214283134466,0.044438000212017,0.9544836895222245,0.01957505950970357,0.005223003223139484,0.0004580516464842628,0.0007596327956930025,-17515.533587363778,-22.639355591120033,0.10368624999909627,quadratic,100,1.0,2.0729217795953697e-06,8000,1.0,100,100
0.7734875,0.670065,0.027373703797095472,0.28482091041485247,0.03538997565842432,0.42506459882974396,-0.0040227095026900295,0.001252178238688977,0.15332267790092519,0.0016188732703359488,0.2288176190383398,7.837015344573113e-05,67.0065,2.425944712890218,0.030331705256216646,0.02425944712890216,0.0003329584975004389,0.0033224330430527745,5.567947601768809e-05,0.007713159712783604,0.0005028585791178579,0.07219972689137978,1.998761060614946,4.005014923851544,2.7173528668044713,0.04446415900531838,0.9543777169736327,0.019553238781986268,0.005177275498125806,0.000455394870147939,0.0007489558093230107,-15823.575139355455,-22.74347542408403,0.10342249999834721,quadratic,100,1.0,2.300430119772917e-06,8000,1.0,100,100
0.7729974999999999,0.66951875,0.02737381565637071,0.28485789417310137,0.035412553929826056,0.4254666417827751,-0.004024266758628686,0.0012524747115213637,0.15336564237823033,0.0016202830041770692,0.22906847997644625,7.827162397247938e-05,66.951875,2.4323977849798744,0.03030907444561778,0.02432397784979873,0.0003332355312647158,0.0033462295687376508,5.385703133936168e-05,0.007943900082345044,0.0005031489279323975,0.07222162250549652,1.9988907503809021,4.005567107228087,2.7175203773822276,0.043807863728132015,0.954465718845689,0.019419030554634696,0.005218655561010608,0.000459466899841761,0.0007675418541608543,-18968.513146345118,-22.07831277761304,0.10347874999969656,quadratic,100,1.0,2.5529080682395166e-06,8000,1.0,100,100
0.7732074999999999,0.6696537499999999,0.02736925704181411,0.2848658780921951,0.035397040305240345,0.42539279156160203,-0.004019548768930739,0.0012515498949097039,0.15333312436417504,0.0016186468637586996,0.22897374107764656,7.820578121624512e-05,66.965375,2.4118304478911865,0.030645341305816788,0.024118304478911848,0.00033659298721836655,0.0033242038935797197,5.518121434169797e-05,0.007849088355616152,0.0005024736638888127,0.07218455586293768,1.9989187458107724,4.005651414919014,2.71716743530089,0.04464994079184747,0.9546402602289138,0.019368084427467517,0.00522168126284352,0.00046221381413287315,0.000761805181215376,-46463.63011013158,-24.806167263139447,0.10355375000486998,quadratic,100,1.0,2.8330961018393243e-06,8000,1.0,100,100
0.77344875,0.6697424999999999,0.02736725357882377,0.284871886002083,0.035383409151315784,0.42534539170215896,-0.004024581616204399,0.0012511098882004787,0.1533534237901069,0.0016175730947919661,0.22897370823877392,7.830152533253593e-05,66.97425,2.3940732940952327,0.030481037112235876,0.023940732940952315,0.00033465915560505153,0.003411341820282045,5.452616087324159e-05,0.007911452976221124,0.0005021433197528362,0.07220143235572311,1.9989398152580031,4.005751733772165,2.717235004148878,0.044349377215807166,0.9547199619259605,0.02001071772300629,0.005236613938009704,0.0004568141186806458,0.0007556970118886727,-147380.39386847147,-17.958049563904503,0.10370625000528043,quadratic,100,1.0,3.1440354715915e-06,8000,1.0,100,100
0.77339125,0.66921375,0.027373730608977197,0.2847864010057543,0.03539441467559558,0.42555372032591143,-0.004026904237670082,0.0012516499323338324,0.15334607182279847,0.001618391638557888,0.2291436358305527,7.828711184575976e-05,66.921375,2.4055026729095523,0.03053705819880986,0.024055026729095506,0.00033380970660074684,0.003305160972080169,5.5488567058711e-05,0.007834107756448886,0.0005023288048809773,0.07224277762498818,1.9986400502280623,4.004561884171015,2.7168184697739655,0.04413115663840289,0.9541995877672741,0.019324883651823294,0.005228638738728449,0.0004443291356657001,0.0007467697950842786,-7684.839171456212,-24.721768422490527,0.104177500000002,quadratic,100,1.0,3.489101213406774e-06,8000,1.0,100,100
